sen_a,sen_b,label
亲爱滴是什么意思,称亲爱的是什么意思,1
慢性湿疹用什么药？,慢性湿疹吃什么药？,1
网页回合制游戏,回合制网页游戏,1
求一部印度电影名字！,求一部老电视剧(古装),0
这种耳机怎么戴？,这种耳机怎么拆,0
怎样在微信上分享链接,微信怎样分享链接,1
"谁用过奇迹面膜,效果如何！",奇迹面膜具体怎么样谁了解,0
找我的世界服务器,我的世界服务器是什么？,0
甘肃建筑职业技术学院2015年单独招生考试题纲,甘肃建筑职业技术学院2015年新生啥时候军训,0
星期六的英语怎么说,星期六的英文怎么写,1
关于厨房的风水书,厨房在哪儿风水才好,0
请问这是什么漫画,请问这是什么漫画的？,0
怎么在电脑上给手机发短信,从电脑上怎么给一个手机号码发短信？,1
热水器什么牌子的好,热水器用什么牌子好,1
什么出洞--东张西望,什么出洞东张西望,1
月经期可以喝红酒么,月经期能喝红酒吗？,1
什么品牌手表好,什么品牌的手表好,1
有在网上可以赚钱的工作吗？,在网上可以做什么工作，赚钱,1
香蕉泡醋吃有什么作用,晚上睡觉前喝醋有什么好处,0
像《蜀山传》这样的电影还有那些,求类似《恐怖游轮》的电影！,0
勇士的信仰怎么抓宠物,勇士的信仰宠物悟性怎么提升,0
这是什么手表品牌,这是什么品牌手表,1
上海有什么好玩的？,北京有什么好玩的？,0
疯狂猜图，求解,疯狂猜图求解。,1
我可以申请重庆公租房吗？,我想申请重庆公租房,1
怎么把名字翻译成韩文啊,把我的名字翻译成韩文,1
今年最流行什么衣服,今年流行穿什么衣服？,1
男人代表什么？,这样的男人代表什么？,1
圣诞节送什么礼物给男朋友最好,圣诞节送什么礼物给男朋友呢,1
怎样写好钢笔字,怎样写好钢笔字呢？,1
请问您的身份证有已认证的支付宝账户吗？,请问是您的身份信息已经认证支付宝账户吗？,1
我想下载，搜狐视频。,给个可以下种子的网站！,0
有谁知道这部电影？,有谁知道这部电影的名字吗？,1
支付宝怎么查询转账记录,怎么查支付宝转账记录,1
我的世界素材包,求我的世界素材包,1
这个图片是哪部电影,这个图片是哪部电影的！,1
大年初一指什么生肖,大年初一猜什么生肖,1
母亲节什么时候,母亲节什么时候到,1
还没漏气是什么意思？,贴吧别人说漏气什么意思,0
求桃子老师和四个学生漫画,求桃子老师和他的四个学生漫画,1
女士吸的烟都有什么牌子？,请问比较普遍的女士香烟有些什么牌子？,1
社会学研究方法和现代社会调查方法有什么不同,社会学研究方法论可以对哪些社会问题进行研究,0
请推荐几本好看的小说,推荐几本好看的小说…,1
晒萝卜干怎么切,萝卜干怎么做,0
女包有那些品牌,品牌女包有那些,1
陈晓和赵丽颖是情侣吗,张翰和郑爽是情侣关系吗？,0
这个修图软件叫什么,有什么这样的修图软件,1
哪里可以看牛仔裤的夏天,夏天能穿牛仔裤吗,0
